Symbol,Date,Open,High,Low,Close,Volume
AEDAUD,14-Jun-2016,0.3685,0.3707,0.3683,0.3704,0
AEDCAD,14-Jun-2016,0.349,0.3502,0.349,0.3502,0
AEDCHF,14-Jun-2016,0.2623,0.2625,0.2623,0.2623,0
AEDDKK,14-Jun-2016,1.7917,1.8058,1.7913,1.8047,0
AEDEUR,14-Jun-2016,0.241,0.2429,0.2409,0.2427,0
AEDGBP,14-Jun-2016,0.1915,0.193,0.1915,0.1929,0
AEDINR,14-Jun-2016,18.282,18.316,18.28,18.316,0
AEDJPY,14-Jun-2016,28.897,28.897,28.851,28.853,0
AEDNOK,14-Jun-2016,2.2505,2.2752,2.2505,2.2729,0
AEDNZD,14-Jun-2016,0.386,0.39,0.386,0.39,0
AEDPKR,14-Jun-2016,28.424,28.478,28.424,28.478,0
AEDSAR,14-Jun-2016,1.0205,1.0207,1.0203,1.0204,0
AEDSEK,14-Jun-2016,2.2434,2.2625,2.2433,2.2623,0
AEDUSD,14-Jun-2016,0.2722,0.2722,0.2722,0.2722,0
AEDZAR,14-Jun-2016,4.1274,4.1912,4.1274,4.1745,0
ALLGBP,14-Jun-2016,0.0057,0.0057,0.0056,0.0056,0
ARSAUD,14-Jun-2016,0.0982,0.0991,0.0979,0.099,0
ARSBRL,14-Jun-2016,0.2522,0.2542,0.2507,0.2532,0
ARSCAD,14-Jun-2016,0.0929,0.0937,0.0929,0.0937,0
ARSCHF,14-Jun-2016,0.0698,0.0701,0.0698,0.0701,0
ARSEUR,14-Jun-2016,0.0642,0.0649,0.0642,0.0649,0
ARSGBP,14-Jun-2016,0.051,0.0516,0.051,0.0516,0
ARSHKD,14-Jun-2016,0.5625,0.5649,0.5625,0.5649,0
ARSHUF,14-Jun-2016,20.063,20.394,20.053,20.387,0
ARSJPY,14-Jun-2016,7.694,7.722,7.662,7.718,0
ARSMXN,14-Jun-2016,1.3653,1.3802,1.3653,1.3771,0
ARSSGD,14-Jun-2016,0.0982,0.0987,0.098,0.0987,0
ARSUSD,14-Jun-2016,0.0724,0.0728,0.0724,0.0728,0
ARSZAR,14-Jun-2016,1.0975,1.1165,1.0968,1.1162,0
AUDAED,14-Jun-2016,2.71,2.71,2.7,2.7,0
AUDARS,14-Jun-2016,10.1818,10.2072,10.089,10.0934,0
AUDBRL,14-Jun-2016,2.5677,2.5702,2.5481,2.5547,0
AUDCAD,14-Jun-2016,0.9471,0.9498,0.9421,0.9454,0
AUDCHF,14-Jun-2016,0.7102,0.7142,0.7073,0.7081,0
AUDCNH,14-Jun-2016,4.8661,4.8816,4.8397,4.8581,0
AUDCNY,14-Jun-2016,4.8518,4.8693,4.8161,4.8426,0
AUDCZK,14-Jun-2016,17.666,17.807,17.396,17.734,0
AUDDKK,14-Jun-2016,4.8608,4.8945,4.8558,4.8736,0
AUDEUR,14-Jun-2016,0.6538,0.658,0.6534,0.6554,0
AUDFJD,14-Jun-2016,1.5332,1.5332,1.5207,1.5216,0
AUDGBP,14-Jun-2016,0.5193,0.5229,0.5177,0.5207,0
AUDHKD,14-Jun-2016,5.7261,5.7464,5.688,5.7039,0
AUDHUF,14-Jun-2016,204.35,206.86,204.25,205.74,0
AUDIDR,14-Jun-2016,9803.5,9875.5,9631.4,9808.6,0
AUDILS,14-Jun-2016,2.845,2.8562,2.8364,2.848,0
AUDINR,14-Jun-2016,49.511,49.666,49.272,49.413,0
AUDJPY,14-Jun-2016,78.458,78.561,77.512,77.935,0
AUDKRW,14-Jun-2016,863.89,867.47,862.7,863.18,0
AUDMXN,14-Jun-2016,13.9123,13.983,13.8891,13.9019,0
AUDMYR,14-Jun-2016,3.0166,3.0232,3.0055,3.0135,0
AUDNOK,14-Jun-2016,6.1077,6.1552,6.1068,6.1372,0
AUDNZD,14-Jun-2016,1.0479,1.053,1.0464,1.0522,0
AUDPHP,14-Jun-2016,33.973,34.014,33.9,33.931,0
AUDPKR,14-Jun-2016,77.136,77.136,76.963,76.963,0
AUDPLN,14-Jun-2016,2.8839,2.9147,2.8823,2.8998,0
AUDSEK,14-Jun-2016,6.0867,6.1226,6.0845,6.1073,0
AUDSGD,14-Jun-2016,1.0007,1.0021,0.9943,0.9967,0
AUDTHB,14-Jun-2016,25.952,26,25.828,25.926,0
AUDTRY,14-Jun-2016,2.1571,2.1631,2.1507,2.1568,0
AUDTWD,14-Jun-2016,23.324,23.324,23.152,23.152,0
AUDUSD,14-Jun-2016,0.7376,0.7404,0.7331,0.7351,0
AUDZAR,14-Jun-2016,11.1705,11.3243,11.1585,11.2695,0
AWGUSD,14-Jun-2016,0.5571,0.5571,0.5571,0.5571,0
BDTGBP,14-Jun-2016,0.0088,0.0088,0.0088,0.0088,0
BDTJPY,14-Jun-2016,1.3226,1.3226,1.3208,1.3208,0
BGNCNY,14-Jun-2016,3.7952,3.7992,3.7651,3.7757,0
BGNDKK,14-Jun-2016,3.7874,3.7875,3.7868,3.7869,0
BGNPLN,14-Jun-2016,2.2555,2.2693,2.2553,2.2619,0
BGNUSD,14-Jun-2016,0.5751,0.5752,0.5709,0.571,0
BHDEUR,14-Jun-2016,2.3323,2.3502,2.3322,2.3495,0
BHDPKR,14-Jun-2016,277.01,277.44,276.99,277.44,0
BHDUSD,14-Jun-2016,2.6338,2.6341,2.6329,2.6337,0
BNDGBP,14-Jun-2016,0.5125,0.5125,0.5119,0.5119,0
BRLARS,14-Jun-2016,3.9621,3.981,3.9296,3.9461,0
BRLAUD,14-Jun-2016,0.3886,0.3915,0.3882,0.3906,0
BRLCAD,14-Jun-2016,0.368,0.3703,0.367,0.3694,0
BRLCHF,14-Jun-2016,0.2763,0.2788,0.2749,0.2766,0
BRLEUR,14-Jun-2016,0.2542,0.2572,0.2541,0.2561,0
BRLHKD,14-Jun-2016,2.2277,2.2385,2.2163,2.2279,0
BRLJPY,14-Jun-2016,30.429,30.586,30.262,30.434,0
BRLKRW,14-Jun-2016,336.224,339.713,336.224,337.445,0
BRLMXN,14-Jun-2016,5.405,5.4631,5.405,5.4337,0
BRLRUB,14-Jun-2016,18.824,19.039,18.824,18.924,0
BRLSEK,14-Jun-2016,2.3661,2.3929,2.3661,2.3867,0
BRLSGD,14-Jun-2016,0.3889,0.3904,0.3872,0.3892,0
BRLUSD,14-Jun-2016,0.2868,0.2873,0.2863,0.287,0
BRLZAR,14-Jun-2016,4.3478,4.4202,4.3478,4.3998,0
BWPCHF,14-Jun-2016,0.0866,0.0866,0.0861,0.0861,0
BWPEUR,14-Jun-2016,0.0795,0.0795,0.0794,0.0794,0
BWPGBP,14-Jun-2016,0.0633,0.0633,0.0629,0.0629,0
BWPUSD,14-Jun-2016,0.0897,0.0897,0.0892,0.0892,0
BWPZAR,14-Jun-2016,1.3789,1.3923,1.3744,1.3826,0
CADAED,14-Jun-2016,2.8624,2.8657,2.8523,2.8555,0
CADARS,14-Jun-2016,10.7538,10.7607,10.667,10.674,0
CADAUD,14-Jun-2016,1.0557,1.0613,1.0529,1.0572,0
CADBRL,14-Jun-2016,2.7116,2.7197,2.6945,2.702,0
CADCHF,14-Jun-2016,0.7508,0.7528,0.7478,0.7492,0
CADCNH,14-Jun-2016,5.16,5.16,5.141,5.141,0
CADCNY,14-Jun-2016,5.1212,5.1312,5.1109,5.1212,0
CADDKK,14-Jun-2016,5.1321,5.1736,5.13,5.1565,0
CADEUR,14-Jun-2016,0.6904,0.6955,0.69,0.6935,0
CADGBP,14-Jun-2016,0.5482,0.5521,0.5482,0.5507,0
CADHKD,14-Jun-2016,6.05,6.057,6.0263,6.0344,0
CADIDR,14-Jun-2016,10354.6,10436.6,10168.8,10372.5,0
CADILS,14-Jun-2016,3.0046,3.0174,3.0038,3.0118,0
CADINR,14-Jun-2016,52.29,52.419,52.212,52.274,0
CADISK,14-Jun-2016,96.12,96.12,96.03,96.03,0
CADJPY,14-Jun-2016,82.825,82.948,82.144,82.497,0
CADKRW,14-Jun-2016,912.51,917.16,912.3,912.67,0
CADKWD,14-Jun-2016,0.2345,0.2347,0.2337,0.2339,0
CADMXN,14-Jun-2016,14.696,14.808,14.684,14.708,0
CADMYR,14-Jun-2016,3.1837,3.1966,3.1754,3.1864,0
CADNOK,14-Jun-2016,6.4474,6.5111,6.4471,6.4902,0
CADNZD,14-Jun-2016,1.1065,1.1131,1.1059,1.1125,0
CADPKR,14-Jun-2016,81.531,81.531,81.262,81.262,0
CADPLN,14-Jun-2016,3.0453,3.0861,3.0438,3.0678,0
CADRUB,14-Jun-2016,51.194,51.469,51.184,51.351,0
CADSEK,14-Jun-2016,6.426,6.4723,6.409,6.4596,0
CADSGD,14-Jun-2016,1.0568,1.0568,1.0518,1.054,0
CADTHB,14-Jun-2016,27.418,27.465,27.337,27.415,0
CADTRY,14-Jun-2016,2.2769,2.2872,2.2744,2.2808,0
CADTWD,14-Jun-2016,24.651,24.651,24.541,24.541,0
CADUAH,14-Jun-2016,19.634,19.634,19.634,19.634,0
CADUSD,14-Jun-2016,0.7794,0.7801,0.7767,0.7773,0
CADZAR,14-Jun-2016,11.7871,11.9752,11.7871,11.9187,0
CDFUSD,14-Jun-2016,0.0011,0.0011,0.0011,0.0011,0
CHFAED,14-Jun-2016,3.8099,3.8106,3.8082,3.8103,0
CHFARS,14-Jun-2016,14.3303,14.3303,14.2475,14.2541,0
CHFAUD,14-Jun-2016,1.4075,1.4129,1.3995,1.4114,0
CHFBGN,14-Jun-2016,1.7914,1.7914,1.7914,1.7914,0
CHFBRL,14-Jun-2016,3.6118,3.6246,3.5843,3.6086,0
CHFBWP,14-Jun-2016,11.26,11.322,11.26,11.322,0
CHFCAD,14-Jun-2016,1.3325,1.3364,1.3286,1.3347,0
CHFCNH,14-Jun-2016,6.833,6.853,6.833,6.853,0
CHFCNY,14-Jun-2016,6.8333,6.8436,6.7994,6.8382,0
CHFCZK,14-Jun-2016,24.858,25.067,24.822,25.039,0
CHFDKK,14-Jun-2016,6.8397,6.8871,6.8112,6.8833,0
CHFEUR,14-Jun-2016,0.9198,0.9266,0.9186,0.9258,0
CHFGBP,14-Jun-2016,0.7312,0.7358,0.7303,0.7355,0
CHFHKD,14-Jun-2016,8.0606,8.061,8.0262,8.0552,0
CHFHUF,14-Jun-2016,287.574,291.226,287.068,290.718,0
CHFIDR,14-Jun-2016,13819.2,13906,13538.6,13850.7,0
CHFILS,14-Jun-2016,4.0043,4.0243,3.9995,4.0219,0
CHFINR,14-Jun-2016,69.698,69.902,69.529,69.785,0
CHFISK,14-Jun-2016,117.33,127.95,116.86,127.89,0
CHFJPY,14-Jun-2016,110.26,110.427,109.369,110.072,0
CHFKRW,14-Jun-2016,1215.96,1222.08,1215.01,1218.84,0
CHFLVL,14-Jun-2016,0.5671,0.5671,0.5671,0.5671,0
CHFMXN,14-Jun-2016,19.567,19.727,19.567,19.634,0
CHFMYR,14-Jun-2016,4.2453,4.2571,4.2319,4.2554,0
CHFNOK,14-Jun-2016,8.5943,8.6798,8.5827,8.6676,0
CHFNZD,14-Jun-2016,1.4752,1.4859,1.4721,1.4857,0
CHFPKR,14-Jun-2016,108.59,108.782,108.223,108.649,0
CHFPLN,14-Jun-2016,4.0572,4.1115,4.052,4.0968,0
CHFRON,14-Jun-2016,4.1449,4.1852,4.1444,4.1826,0
CHFRUB,14-Jun-2016,68.195,68.736,68.095,68.559,0
CHFSEK,14-Jun-2016,8.5651,8.6362,8.5535,8.6245,0
